,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
0,11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,Gas Giant,19.4 Jupiters,1.08 x Jupiter,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,100,-100,0.3,0,19,2,-2,14-05-2014,Xinglong Station
1,11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,Gas Giant,14.74 Jupiters,1.09 x Jupiter,1.53 AU,1.4 years,0.08,11 UMi,Radial Velocity,,46,-46,0.69,0,29.79,2.84,-2.84,06-09-2018,Thueringer Landessternwarte Tautenburg
2,14 Andromedae b,247,4.8 Jupiters,5.227,2008,Gas Giant,4.8 Jupiters,1.15 x Jupiter,0.83 AU,185.8 days,0,14 And,Radial Velocity,,20,-20,0.1,0,11,1,-1,14-05-2014,Okayama Astrophysical Observatory
3,14 Herculis b,59,4.66 Jupiters,6.61,2002,Gas Giant,4.66 Jupiters,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,,25,-25,0.04,0,0.93,0.01,-0.01,06-09-2018,W. M. Keck Observatory
4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,Gas Giant,1.78 Jupiters,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,,8,-8,0.04,0,1.13,0.01,-0.01,06-09-2018,Multiple Observatories
5,18 Delphini b,249,10.3 Jupiters,5.506,2008,Gas Giant,10.3 Jupiters,1.11 x Jupiter,2.6 AU,2.7 years,0.08,18 Del,Radial Velocity,,18,-18,,0,8.5,,,14-05-2014,Okayama Astrophysical Observatory
6,1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,Gas Giant,8 Jupiters,1.664 x Jupiter,330.0 AU,6505.9 years,0,1RXS J160929.1-210524,Imaging,,300,-200,0.2,0,,,,01-04-2015,Gemini Observatory
7,24 Bootis b,314,0.91 Jupiters,5.58,2018,Gas Giant,0.91 Jupiters,1.24 x Jupiter,0.19 AU,30.4 days,0.04,24 Boo,Radial Velocity,,15,-15,0.19,0,10.64,0.84,-0.59,26-04-2018,Okayama Astrophysical Observatory
8,24 Sextantis b,236,1.99 Jupiters,6.441,2010,Gas Giant,1.99 Jupiters,1.19 x Jupiter,1.333 AU,452.8 days,0.09,24 Sex,Radial Velocity,,44,-44,0.08,0,4.9,0.08,-0.08,14-05-2014,Lick Observatory
9,24 Sextantis c,236,0.86 Jupiters,6.441,2010,Gas Giant,0.86 Jupiters,1.24 x Jupiter,2.08 AU,2.4 years,0.29,24 Sex,Radial Velocity,,44,-44,0.08,0,4.9,0.08,-0.08,14-05-2014,Lick Observatory
10,2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013,Gas Giant,13 Jupiters,1.1 x Jupiter,84.0 AU,1767.2 years,0,2MASS J01033563-5515561 A,Imaging,,,,0.02,0,,,,03-09-2020,Paranal Observatory
11,2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,Gas Giant,24.5 Jupiters,1.0 x Jupiter,52.0 AU,593.2 years,0,2MASS J01225093-2439505,Imaging,,50,-50,0.05,0,,,,14-05-2014,W. M. Keck Observatory
12,2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,Gas Giant,13.9 Jupiters,1.44 x Jupiter,156.0 AU,5878.1 years,0,2MASS J02192210-3925225,Imaging,,76,-76,0.01,0,0.28,0.01,-0.01,14-05-2015,Cerro Tololo Inter-American Observatory
13,2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,Gas Giant,7.5 Jupiters,1.13 x Jupiter,15.0 AU,411 years,0,2MASS J04414489+2301513,Imaging,,,,,0,,,,14-05-2014,Hubble Space Telescope
14,2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,Gas Giant,4 Jupiters,1.16 x Jupiter,46.0 AU,2207.3 years,0,2MASS J12073346-3932539,Imaging,,,,,0,,,,14-05-2014,Paranal Observatory
15,2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,Gas Giant,1.9 Jupiters,1.2 x Jupiter,0.92 AU,416 days,0,2MASS J19383260+4603591,Eclipse Timing Variations,,,,0.03,0,,,,04-06-2015,Kepler
16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,Gas Giant,20.95 Jupiters,0.92 x Jupiter,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,,80,-80,0.06,0,0.12,0.05,-0.04,14-05-2014,W. M. Keck Observatory
